"citation_key","inclusion_1","inclusion_2","ec_org_level","comment"
"Ishiwata2006","no","NA","NA","-"
"Itakura2005","no","NA","NA","-"
"Iversen2004","no","NA","NA","-"
"Iversen2011","no","NA","NA","-"
"Jallipalli2007","no","NA","NA","-"
"James2019","no","NA","NA","-"
"Jan2002","no","NA","NA","-"
"Jarbi2013","no","NA","NA","-"
"Jasik2018","no","NA","NA","-"
"Jayaganesh2009","no","NA","NA","-"
"Jeon2018","no","NA","NA","-"
"Jiang2013","no","NA","NA","-"
"Jiang2017","no","NA","NA","-"
"Jinle2013","no","NA","NA","-"
"Jochemsen2016","no","NA","NA","-"
"Johansson2009","no","NA","NA","-"
"John2015","no","NA","NA","-"
"Johnson2012","no","NA","NA","-"
"Johnson2012a","no","NA","NA","-"
"Johnston1996","no","NA","NA","-"
"Jones2016","no","NA","NA","-"
"Jordansweet2000","no","NA","NA","-"
"Joshi2019","no","NA","NA","-"
"Jury2015","no","NA","NA","-"
"Jwikowska2019","no","NA","NA","-"
"Jwikowska2020","no","NA","NA","-"
"Kaganer2011","no","NA","NA","-"
"Kahn2017","no","NA","NA","-"
"Kamei2014","no","NA","NA","-"
"Kammler2019","no","NA","NA","-"
"Kanellis1995","no","NA","NA","-"
"Kanellis1996","no","NA","NA","-"
"Kanellis2000","yes","TODO","TODO","-"
"Kanellis2005","no","NA","NA","-"
"Kang2007","yes","TODO","TODO","-"
"Kanzer1992","no","NA","NA","-"
"Kaplan1980","no","NA","NA","-"
"Kaplan1993","no","NA","NA","-"
"Kaprielianchurchill1994","no","NA","NA","-"
"Kari2014","no","NA","NA","-"
"Kassahun2011","no","NA","NA","-"
"Katsma2009","no","NA","NA","-"
"Katsuno2007","no","NA","NA","-"
"Kefi2009","no","NA","NA","-"
"Keith2018","no","NA","NA","-"
"Kelly1995","no","NA","NA","-"
"Kelly1995a","no","NA","NA","-"
"Kendall1993","no","NA","NA","-"
"Keskitalo2016","no","NA","NA","-"
"Kffer2014","no","NA","NA","-"
"Kffer2015","no","NA","NA","-"
"Khazanchi2018","no","NA","NA","-"
"Kheybari2020","no","NA","NA","-"
"Kiefer2006","no","NA","NA","-"
"Kiguchi2011","no","NA","NA","-"
"Kim2012","no","NA","NA","-"
"Kim2013","no","NA","NA","-"
"Kim2014","no","NA","NA","-"
"Kim2014a","no","NA","NA","-"
"Kirsch2013","no","NA","NA","-"
"Kiselev2019","no","NA","NA","-"
"Kisling2017","yes","TODO","TODO","-"
"Klecun2014","no","NA","NA","-"
"Kleger1971","no","NA","NA","-"
"Kleinbaum2012","yes","TODO","TODO","-"
"Klepper2002","no","NA","NA","-"
"Kmec2010","no","NA","NA","-"
"Kmec2010a","no","NA","NA","-"
"Knapp2001","no","NA","NA","-"
"Knight2006","no","NA","NA","-"
"Knijnenburg2013","no","NA","NA","-"
"Knning2018","no","NA","NA","-"
"Kohler2011","no","NA","NA","-"
"Kohler2013","no","NA","NA","-"
"Kohlmann2010","no","NA","NA","-"
"Kohn2018","no","NA","NA","-"
"Koivisto2016","no","NA","NA","-"
"Kondo1995","no","NA","NA","-"
"Kondo2005","no","NA","NA","-"
"Koo2012","no","NA","NA","-"
"Korpela2000","no","NA","NA","-"
"Korzaan2018","no","NA","NA","-"
"Kotzebue2010","no","NA","NA","-"
"Kouvaros2002","no","NA","NA","-"
"Kowatsch2014","no","NA","NA","-"
"Krasnitckii2020","no","NA","NA","-"
"Kreps2009","no","NA","NA","-"
"Krogh1998","no","NA","NA","-"
"Kujofsa2015","no","NA","NA","-"
"Kujofsa2016","no","NA","NA","-"
"Kuk2005","no","NA","NA","-"
"Kukushkin2017","no","NA","NA","-"
"Kumlander2008","no","NA","NA","-"
"Kuppusamy2009","no","NA","NA","-"
"Kuroda2011","no","NA","NA","-"
"Kurosawa2007","no","NA","NA","-"
"Kurosawa2009","no","NA","NA","-"
"Kurunczi2005","no","NA","NA","-"
"Kusmantini2006","no","NA","NA","-"
"Kutar2005","no","NA","NA","-"
"Kuwahara2012","no","NA","NA","-"
"Kwahk2008","no","NA","NA","-"
"Kwark2012","no","NA","NA","-"
"Kwark2017","no","NA","NA","-"
"Kyoshima1981","no","NA","NA","-"
"Lairet2016","no","NA","NA","-"
"Lam2004","no","NA","NA","-"
"Lam2016","no","NA","NA","-"
"Lambeck2014","no","NA","NA","-"
"Lathey2015","no","NA","NA","-"
"Latif2017","no","NA","NA","-"
"Laumer2014","no","NA","NA","-"
"Laumer2015","no","NA","NA","-"
"Laumer2016","no","NA","NA","-"
"Lauterbach2014","no","NA","NA","-"
"Leach1952","no","NA","NA","-"
"Lee1999","no","NA","NA","-"
"Lee2004","no","NA","NA","-"
"Lee2006","no","NA","NA","-"
"Lee2009","no","NA","NA","-"
"Lee2014","no","NA","NA","-"
"Lee2020","yes","TODO","TODO","-"
"Legner2006","no","NA","NA","-"
"Lei2017","no","NA","NA","-"
"Lekic2019","no","NA","NA","-"
"Lenguyen2007","no","NA","NA","-"
"Lenguyen2008","yes","TODO","TODO","-"
"Lenguyen2009","yes","TODO","TODO","-"
"Leonhardt2020","no","NA","NA","-"
"Lerma2015","no","NA","NA","-"
"Lesesne1995","no","NA","NA","-"
"Li2003","no","NA","NA","-"
"Li2005","yes","TODO","TODO","-"
"Li2008","no","NA","NA","-"
"Li2011","no","NA","NA","-"
"Li2016","no","NA","NA","-"
"Li2017","no","NA","NA","-"
"Li2017a","yes","TODO","TODO","-"
"Li2017b","no","NA","NA","-"
"Li2019","no","NA","NA","-"
"Li2019a","no","NA","NA","-"
"Li2019b","no","NA","NA","-"
"Li2020","no","NA","NA","-"
"Liang2004","yes","TODO","TODO","-"
"Lidya2017","no","NA","NA","-"
"Light2001","no","NA","NA","-"
"Lim2014","no","NA","NA","-"
"Lin2014","yes","TODO","TODO","-"
"Lin2018","no","NA","NA","-"
"Lindblad1989","no","NA","NA","-"
"Liu2008","no","NA","NA","-"
"Liu2011","yes","TODO","TODO","-"
"Liu2011a","no","NA","NA","-"
"Liu2012","no","NA","NA","-"
"Liu2013","no","NA","NA","-"
"Liu2013a","no","NA","NA","-"
"Liu2014","no","NA","NA","-"
"Liu2015","no","NA","NA","-"
"Lofgren2017","no","NA","NA","-"
"Logan2015","no","NA","NA","-"
"Loiacono2018","no","NA","NA","-"
"Lorenz2017","no","NA","NA","-"
"Lorenzo2001","yes","TODO","TODO","-"
"Los2017","no","NA","NA","-"
"Loshkarev2012","no","NA","NA","-"
"Lou2000","no","NA","NA","-"
"Lpez2016","no","NA","NA","-"
"Luckin2010","no","NA","NA","-"
"Luo2016","no","NA","NA","-"
"Luo2016a","no","NA","NA","-"
"Lutz1995","no","NA","NA","-"
