,,288,Industrielle Beziehungen,,,1224,IBMRD‚Äôs Journal of Management Research
,,289,Industry & Innovation,,,1225,Iconic Research & Engineering Journals
,,290,INFOR: Information Systems and Operational Research (fr¸her: Journal for Canadian Operational Research Society),,,1226,Ideal Journal of Arts and Humanities
,,291,Informatik-Spektrum,,,1227,Ideal Journal of Economics and Management Sciences
,,292,Information & Management,,,1228,Ideal Journal of Education and Policy Studies
,,293,Information and Organization,,,1229,Ideal Journal of Engineering and Applied Sciences
,,294,Information Resources Management Journal,,,1230,Ideal Journal of Psychology and Theology
,,295,Information Systems (IS),,,1231,Ideal Journal of Pure and Applied Sciences
,,296,Information Systems and e-Business Management,,,1232,IJPUB ‚Äì International Peer Reviewed
,,297,Information Systems Frontiers,,,1233,indexed by DOAJ
,,298,Information Systems Journal (ISJ),,,1234,Indian Journal of Advanced Nursing
,,299,Information Systems Management,,,1235,Indian Journal of Advances in Chemical Science
,,300,Information Systems Research (ISR),,,1236,Indian Journal of Applied Research
,,301,Information Technology and Management,,,1237,Indian Journal of Applied-Basic Medical Sciences
,,302,INFORMS Journal on Computing (JOC),,,1238,Indian Journal of Drugs
,,303,Innovative Verwaltung,,,1239,Indian Journal of Medical Research and Pharmaceutical Sciences
,,304,Insurance: Mathematics & Economics,,,1240,Indian Journal of Natural Sciences
,,305,"Intelligent Systems in Accounting, Finance & Management",,,1241,Indian Journal of Pharmaceutical and Biological Research
,,306,Interfaces,,,1242,Indian Journal of Pharmaceutical Science & Research
,,307,Internal Auditor,,,1243,Indian Journal of Public Health Research and Development
,,308,International Business & Economics Research Journal,,,1244,Indian Journal of Research Anvikshiki
,,309,International Business Review,,,1245,Indian Journal of Research in Pharmacy and Biotechnology
,,310,International Economic Review,,,1246,Indian Journal of Scientific Research¬†
,,311,International Entrepreneurship and Management Journal,,,1247,Indian Journal of Scientific Research and Technology
,,312,International Journal of Accounting,,,1248,Indian Research Journal of Pharmacy and Science
,,313,International Journal of Accounting Information Systems,,,1249,Indian Scholar
,,314,"International Journal of Accounting, Auditing and Performance Evaluation",,,1250,Indian Streams Research Journal
,,315,International Journal of Advertising,,,1251,Indo American Journal of Pharmaceutical Research
,,316,International Journal of Arts Management,,,1252,Indo American Journal of Pharmaceutical Sciences
,,317,International Journal of Auditing,,,1253,Indo-Global Journal of Pharmaceutical Sciences
,,318,International Journal of Automotive Technology and Management,,,1254,Indonesian Journal of Business Finance and Accounting
,,319,International Journal of Bank Marketing,,,1255,Indonesian Journal of Management and Business Economics
,,320,International Journal of Business Communication (IJBC),,,1256,Industrial Science Journal
,,321,International Journal of Business Environment,,,1257,INFORMATION-An International Interdisciplinary Journal
,,322,International Journal of Business Intelligence and Data Mining,,,1258,Innovations in Pharmaceuticals and Pharmacotherapy
